epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.774,2.49155,1.70637,0.60015,3.81953,2.33293,0.52453,0.56,0.48779,0.22996,0.58476,0.64,0.61613,0.40203,1.95289,1.35126,0.42997,1.90568,1.97035,0.000657143,0.000657143,0.000657143
2,152.355,2.10786,0.81414,0.39792,1.88126,1.93558,0.28895,0.44,0.27508,0.10433,0.337,0.52,0.37498,0.27989,2.1562,1.02929,0.13537,4.06456,2.23322,0.0013107,0.0013107,0.0013107
3,186.719,2.05532,0.72129,0.35562,1.83846,1.84183,0.64883,0.76,0.64669,0.25889,0.74214,0.72,0.71413,0.5487,1.96195,0.66432,0.05717,3.89086,1.98887,0.00195106,0.00195106,0.00195106
4,219.893,1.99731,0.65464,0.35928,1.76614,1.80811,0.66139,0.64,0.62259,0.30082,0.70986,0.76,0.83009,0.70242,1.96767,0.79947,0.07842,1.82604,1.94457,0.0019406,0.0019406,0.0019406
5,252.728,1.97498,0.56281,0.32084,1.68408,1.77577,0.85709,0.4798,0.53599,0.21796,1,0.55724,0.71372,0.62028,2.16888,0.69383,0.11331,1.87531,2.11077,0.0019208,0.0019208,0.0019208
6,286.774,1.89456,0.47517,0.31437,1.60778,1.71478,0.70128,0.68,0.73126,0.28039,0.70128,0.68,0.77849,0.72982,2.07563,0.43844,0.05081,1.49701,2.00074,0.001901,0.001901,0.001901
7,319.469,1.87879,0.46394,0.30091,1.51381,1.70357,0.84471,0.68,0.77752,0.33825,0.82585,0.68,0.86053,0.81343,1.879,0.39415,0.07984,1.69733,1.90082,0.0018812,0.0018812,0.0018812
8,352.538,1.85556,0.45309,0.28314,1.53826,1.68783,0.6288,0.67768,0.6932,0.36963,0.65922,0.68,0.75552,0.7139,1.80003,0.45323,0.06695,1.46169,1.76746,0.0018614,0.0018614,0.0018614
9,385.797,1.81998,0.44832,0.28155,1.43225,1.63583,0.7337,0.76,0.7745,0.37572,0.78914,0.8,0.8249,0.75814,1.72253,0.42663,0.04966,1.29227,1.77104,0.0018416,0.0018416,0.0018416
10,418.515,1.81252,0.43207,0.26232,1.42272,1.629,0.86438,0.76,0.87479,0.35969,0.86438,0.76,0.90674,0.86146,1.94845,0.41635,0.02894,1.17828,1.86443,0.0018218,0.0018218,0.0018218
11,453.017,1.75136,0.38385,0.25668,1.30919,1.58932,0.64336,0.64,0.6623,0.3237,0.80753,0.8,0.8287,0.76531,1.88404,0.42576,0.06566,1.40431,1.88902,0.001802,0.001802,0.001802
12,485.563,1.74127,0.36126,0.26487,1.33242,1.57755,0.74813,0.84,0.77959,0.40428,0.74813,0.84,0.80462,0.77561,1.67993,0.3492,0.04281,1.39195,1.69306,0.0017822,0.0017822,0.0017822
13,518.92,1.73017,0.34009,0.23328,1.26713,1.56289,0.86758,0.8,0.82963,0.39155,0.91246,0.83413,0.91892,0.83727,1.62102,0.41063,0.04128,1.38027,1.63727,0.0017624,0.0017624,0.0017624
14,553.399,1.67168,0.33254,0.22801,1.2065,1.53505,0.87269,0.8,0.86188,0.40746,0.84941,0.92,0.92962,0.8698,1.76968,0.36114,0.03325,1.22372,1.75302,0.0017426,0.0017426,0.0017426
15,586.987,1.65906,0.34728,0.217,1.20848,1.51137,0.98075,0.8,0.86891,0.39346,0.98075,0.8,0.93266,0.87183,1.81024,0.40815,0.04747,1.1794,1.7883,0.0017228,0.0017228,0.0017228
16,619.914,1.62439,0.31041,0.2004,1.15163,1.50385,0.78808,0.8,0.78777,0.33288,0.78943,0.88,0.91382,0.88152,1.83784,0.25439,0.01915,1.17932,1.77549,0.001703,0.001703,0.001703
17,654.431,1.64114,0.31793,0.20598,1.15829,1.50267,0.77237,0.67866,0.702,0.39684,0.90673,0.76,0.92406,0.86981,1.72324,0.32471,0.04608,1.19313,1.7877,0.0016832,0.0016832,0.0016832
18,687.411,1.6001,0.28797,0.1924,1.08825,1.45288,0.94986,0.75782,0.80301,0.40035,0.94979,0.92,0.94825,0.88962,1.69766,0.29694,0.06028,1.16435,1.73651,0.0016634,0.0016634,0.0016634
19,722.723,1.54693,0.29673,0.18427,1.06665,1.44786,0.91504,0.8,0.82852,0.43844,0.92127,0.93656,0.96942,0.91929,1.76072,0.2816,0.04377,1.0199,1.77365,0.0016436,0.0016436,0.0016436
20,755.297,1.55573,0.27582,0.16644,1.0281,1.43381,0.87175,0.81606,0.8777,0.46552,0.9145,0.85606,0.96142,0.90915,1.63501,0.23352,0.02103,0.9528,1.69395,0.0016238,0.0016238,0.0016238
21,789.708,1.5304,0.2674,0.17345,1.0416,1.429,0.91634,0.87642,0.88312,0.41429,0.8992,0.88,0.9552,0.91199,1.67538,0.27723,0.0597,0.86699,1.63543,0.001604,0.001604,0.001604
22,823.544,1.50294,0.26498,0.15939,1.00232,1.40932,0.96585,0.84,0.89212,0.4356,0.96585,0.84,0.9306,0.90298,1.71973,0.24387,0.02277,1.07548,1.71037,0.0015842,0.0015842,0.0015842
23,856.735,1.50526,0.24376,0.16251,0.98506,1.3988,0.8164,0.88,0.90536,0.43663,0.8552,0.92,0.94322,0.91109,1.7375,0.16437,0.04758,0.98868,1.70019,0.0015644,0.0015644,0.0015644
24,891.156,1.51477,0.2601,0.16324,1.0097,1.42059,0.88473,0.8,0.81834,0.42186,0.92897,0.84,0.93645,0.89253,1.76422,0.23206,0.02803,0.99414,1.687,0.0015446,0.0015446,0.0015446
25,924.535,1.45225,0.25243,0.15443,0.94551,1.3922,0.95404,0.83065,0.91324,0.41896,0.95404,0.83065,0.91352,0.9066,1.76245,0.22417,0.02105,0.97784,1.7895,0.0015248,0.0015248,0.0015248
26,958.354,1.44659,0.24818,0.14922,0.93587,1.36887,0.94154,0.8,0.88221,0.45676,0.94154,0.8,0.9205,0.89164,1.75373,0.3093,0.05587,0.99379,1.71508,0.001505,0.001505,0.001505
27,992.374,1.44401,0.2239,0.15549,0.9111,1.39024,0.94682,0.88,0.93879,0.48357,0.94682,0.88,0.94912,0.92136,1.62941,0.2396,0.04471,0.88649,1.63521,0.0014852,0.0014852,0.0014852
