Model,Viewpoint,Best Accuracy,Final Accuracy
Pure MLP,Front,30.978260869565215,30.978260869565215
Pure MLP,Left,37.24137931034483,37.24137931034483
Pure MLP,Right,36.434108527131784,36.434108527131784
XGBoost,Front,51.63043478260869,51.63043478260869
XGBoost,Left,51.03448275862069,51.03448275862069
XGBoost,Right,54.263565891472865,54.263565891472865
CapsNet,Front,51.63043478260869,51.63043478260869
CapsNet,Left,53.103448275862064,53.103448275862064
CapsNet,Right,51.162790697674424,51.162790697674424
Pure GCN,Front,35.32608695652174,35.32608695652174
Pure GCN,Left,24.137931034482758,24.137931034482758
Pure GCN,Right,36.434108527131784,36.434108527131784
Pose Transformer,Front,23.91304347826087,23.91304347826087
Pose Transformer,Left,28.965517241379313,28.965517241379313
Pose Transformer,Right,45.73643410852713,45.73643410852713
EdgeConv,Front,51.08695652173913,51.08695652173913
EdgeConv,Left,50.3448275862069,50.3448275862069
EdgeConv,Right,48.06201550387597,48.06201550387597
ST-GCN,Front,66.30434782608695,66.30434782608695
ST-GCN,Left,58.620689655172406,58.620689655172406
ST-GCN,Right,57.36434108527132,57.36434108527132
